"id","agcy_agencies_id","title","tags","created_at","created_by_agency_member_id","updated_at","updated_by_agency_member_id","deleted_at","deleted_by_agency_member_id"
63,75," ห้ามไป!! Veranda Resort Pattaya ถ้ายังไม่ได้ดูรีวิวนี้.. เที่ยวพัทยา พักรีสอร์ทหรู","ทัวร์พัทยา,เที่ยวพัทยา,รีวิวพัทยา,พัทยา,แพคเกจพัทยา,ทัวร์เที่ยวไทย,Thailandamazingยิ่งกว่าเดิม,แพคเกจชลบุรี,ที่พักวีรันดา,รีวิวชลบุรี,ตั๋วเครื่องบินราคาถูก","2021-04-22 07:04:42",263,"2021-04-23 05:40:18",263,NULL,NULL
64,75,"นครนายก รีวิว : สวนพุทธชยันตี 2600 ปี","ทัวร์นครนายก,เที่ยวนครนายก,แพคเกจนครนายก,พุทธอุทยานมาฆบูชาอนุสรณ์,ทัวร์เที่ยวไทย,รีวิวนครนายก,Thailandamazingยิ่งกว่าเดิม,ตั๋วเครื่องบินราคาถูก,รีวิวพุทธอุทยานมาฆบูชาอนุสรณ์,รีวิวสวนพุทธชยันตี 2600 ปี,สวนพุทธชยันตี 2600 ปี","2021-04-22 07:09:18",263,"2021-04-23 04:59:54",263,NULL,NULL
65,75,"โบสถ์สีน้ำเงิน วัดปากน้ำแขมหนู หรือ โบสถ์เซรามิกสีน้ำเงิน ที่ใครๆก็อยากมา จันทบุรี","ทัวร์จันทบุรี,เที่ยวจันทบุรี,แพคเกจจันทบุรี,ทัวร์เที่ยวไทย,วัดปากน้ำแขมหนู,รีวิวจันทบุรี,รีวิววัดปากน้ำแขมหนู,ตั๋วเครื่องบินราคาถูก,Thailandamzingยิ่งกว่าเดิม,แพคเกจวัดปากน้ำแขมหนู","2021-04-22 07:20:30",263,"2021-04-23 05:06:52",263,NULL,NULL
66,75,"แพคเกจมัลดีฟส์ สุดปังปุริเย่ : รีวิว Club Med Kani","เที่ยวมัลดีฟส์,ทัวร์มัลดีฟส์,รีวิวมัลดีฟส์,clubmedkani,จูบิลี่แทรเวิล","2021-04-22 08:58:51",265,"2021-04-23 04:40:51",265,NULL,NULL
67,75,"แพคเกจคลับเมดบาหลี สุดปัง!! : รีวิว Club Med Bali","เที่ยวบาหลี,ทัวร์บาหลี,อินโดนีเซีย,เที่ยวต่างประเทศ,ทัวร์ต่างประเทศ,จูบิลี่แทรเวิล","2021-04-22 10:26:56",265,"2021-04-23 04:48:22",265,NULL,NULL
68,5,"20 จุดเช็คอิน จันทบุรี ไปกี่ที ก็ หลงรัก","เที่ยวจันทบุรี,ที่เที่ยวจันทบุรี,แหล่งท่องเที่ยวจันทบุรี,จุดเช็คอินจันทบุรี,จุดชมวิวจันทบุรี,ที่เที่ยวใกล้กรุงเทพมหานคร","2021-04-23 03:16:09",151,"2021-06-08 09:56:44",151,NULL,NULL
69,5,"15 ที่เที่ยวอุตรดิตถ์ เมืองแห่งขุนเขา ตำนาน และทุเรียนรสเด็ด!","ที่เที่ยวอุตรดิตถ์,แหล่งท่องเที่ยวอุตรดิตถ์,เที่ยวอุตรดิตถ์,จุดเช็คอินอุตรดิตถ์,จุดชมวิวอุตรดิตถ์,แหล่งท่องเที่ยวธรรมชาติและวัฒนธรรม","2021-04-23 03:27:56",151,"2021-06-08 09:55:00",151,NULL,NULL
70,5,"รวม 20 ที่เที่ยวลำพูน ชมธรรมชาติ สัมผัสวิถีชีวิตชุมชน","ที่เที่ยวลำพูน,แหล่งท่องเที่ยวลำพูน,จุดชมวิวลำพูน,แหล่งท่องเที่ยวเชิงธรรมชาติและวัฒนธรรม,เที่ยวลำพูน","2021-04-23 03:37:55",151,"2021-06-08 09:48:59",151,NULL,NULL
71,5,"30 ที่เที่ยวลำปาง ไปเที่ยวกันเต๊อะมันดีต่อใจ!","ที่เที่ยวลำปาง,แหล่งท่องเที่ยวลำปาง,จุดชมวิวลำปาง,จุดเช็คอินลำปาง,ที่เที่ยวสวยในลำปาง","2021-04-23 04:13:44",151,"2021-06-08 09:44:38",151,NULL,NULL
72,5,"20 ที่เที่ยวแม่ฮ่องสอน สายต่อนยอนต้องมาเช็คอิน!","ที่เที่ยวแม่ฮ่องสอน,จุดเช็คอินแม่ฮ่องสอน,ดินแดนแห่งเมืองสามหมอก,แหล่งท่องเที่ยวธรรมชาติ,จุดชมวิวแม่ฮ่องสอน","2021-04-23 04:55:10",151,"2021-06-08 09:38:23",151,NULL,NULL
73,5,"10 จุดเช็คอิน แพร่ เที่ยวเมืองรอง รับรองจะติดใจ","จุดเช็คอินแพร่,เที่ยวแพร่,เวียงโกศัย,เที่ยวเมืองรอง,จุดชมวิวแพร่","2021-04-23 05:01:24",151,"2021-06-08 09:31:36",151,NULL,NULL
74,75,"แพคเกจคลับเมดบาหลี สุดปัง!! : รีวิว Club Med Bali","","2021-04-23 05:47:42",265,"2021-04-23 05:47:42",265,NULL,NULL
75,75,"แพคเกจคลับเมดฮอกไกโด สุดปัง!! : รีวิว Club Med Tomamu","","2021-04-23 06:07:57",265,"2021-04-23 06:07:57",265,NULL,NULL
76,5,"อัปเดต 10 สุดยอดที่เที่ยวเบตงเมืองต้องห้ามพลาด!","เที่ยวเบตง,ที่เที่ยวเบตง,เมืองเบตง,เที่ยวภาคใต้,ที่เที่ยวปลายด้ามขวานไทย","2021-04-23 06:09:37",151,"2021-06-08 17:56:41",150,NULL,NULL
77,5,"รวม 20 ที่เที่ยวพะเยา จุดเช็คอินสวยๆ ที่ห้ามพลาด!","ที่เที่ยวพะเยา,แหล่งท่องเที่ยวจังหวัดพะเยา,จุดชมวิวพะเยา,จุดเช็คอินสวยพะเยา,เที่ยวเมืองพะเยา","2021-04-23 06:24:00",151,"2021-06-08 08:34:32",151,NULL,NULL
78,5,"แจกพิกัดที่เที่ยวเชียงใหม่ แอ่วเหนือ ม่วนใจ วิถีไทยล้านนา","พิกัดที่เที่ยวเชียงใหม่,เที่ยวเชียงใหม่,แหล่งท่องเที่ยวในเชียงใหม่,จุดชมวิวเมืองเชียงใหม่,จุดเช็คอินเชียงใหม่,แอ่วเหนือ,เที่ยวไทยล้านนา","2021-04-23 06:38:24",151,"2021-06-08 08:29:50",151,NULL,NULL
79,5,"แจกพิกัด 30 ที่เที่ยวเชียงราย","เที่ยวเชียงราย,ทีเที่ยวเชียงราย,แหล่งท่องเที่ยวเชียงราย,จุดชมวิวเชียงราย,ที่เที่ยวน่าไปเชียงราย,แหล่งท่องเที่ยวตามธรรมชาติเชียงราย","2021-04-23 06:51:42",151,"2021-06-08 08:24:13",151,NULL,NULL
80,5,"รวมสถานที่ท่องเที่ยวในอียิปต์","อียิปต์,เที่ยวอียิปต์,แหล่งท่องเที่ยวอียิปต์,อารยธรรมอียิปต์,พิระมิด,สฟิงซ์,มหาวิหารลักซอร์,โบราณสถานอียิปต์,แม่น้ำไนล์,แหล่งท่องเที่ยวในอียิปต์","2021-04-23 07:03:37",151,"2021-06-08 08:04:20",151,NULL,NULL
81,75,"เที่ยวภูเก็ต กับรีสอร์ทคลับเมดไทยๆ : รีวิว Club Med Phuket","","2021-04-23 07:41:32",265,"2021-04-23 07:41:32",265,NULL,NULL
82,75,"แพคเกจมัลดีฟส์ สุดปังปุริเย่ : รีวิว Club Med Finolhu","","2021-04-23 07:50:54",265,"2021-04-23 07:50:54",265,NULL,NULL
